baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
OR4F5|ENSG00000186092.7|chr1	0	NA	NA	NA	NA	NA
SAMD11|ENSG00000187634.13|chr1	1735.13012542261	-0.0941163211527735	0.130197004567999	-0.722876240241137	0.469755922044847	0.936570319464774
NOC2L|ENSG00000188976.11|chr1	1320.13939737474	0.607977587650644	0.206436110897845	2.94511258232093	0.00322837169107443	0.10324375427946
KLHL17|ENSG00000187961.15|chr1	89.6210339958146	-0.300055864431654	0.522177172862418	-0.574624629389366	0.56554519125356	0.964304484026443
PLEKHN1|ENSG00000187583.11|chr1	4.73917340197566	4.55226816642378	2.71185822515028	1.67865271281706	0.0932197468441133	0.574257661092158
PERM1|ENSG00000187642.10|chr1	0.0701249867045435	-0.604662642341911	6.22984362272196	-0.0970590401557656	0.922679508451461	NA
HES4|ENSG00000188290.11|chr1	1233.19078525262	-0.833435886380332	0.175273255861522	-4.7550659242549	1.9838167121831e-06	0.000330339686314903
ISG15|ENSG00000187608.10|chr1	43.7812190711503	1.4763745224052	0.835979577556109	1.76604137474412	0.0773889077363941	0.527650857969249
AGRN|ENSG00000188157.15|chr1	83.3759732118241	-1.1469344435433	0.780450337461494	-1.46958030317962	0.141675458111283	0.67095533234984
RNF223|ENSG00000237330.3|chr1	0	NA	NA	NA	NA	NA
C1orf159|ENSG00000131591.18|chr1	74.1133839476265	0.062035910207291	0.569627368643858	0.108906126394494	0.913276947390895	0.989089300191995
TTLL10|ENSG00000162571.14|chr1	0	NA	NA	NA	NA	NA
TNFRSF18|ENSG00000186891.14|chr1	0	NA	NA	NA	NA	NA
TNFRSF4|ENSG00000186827.12|chr1	1.70965553868744	4.35073115074621	6.14246937619379	0.708303270930128	0.478756946293428	0.94042513177337
SDF4|ENSG00000078808.20|chr1	2638.7859875629	-0.0333893672590641	0.124648283058681	-0.26786864960944	0.788800426074435	0.975236302427196
B3GALT6|ENSG00000176022.7|chr1	1137.84917252426	-0.120104616509743	0.165966134002326	-0.723669423474432	0.469268709191282	0.936570319464774
C1QTNF12|ENSG00000184163.3|chr1	0.352310880061034	-2.39507525199626	6.16751914452531	-0.388336897846889	0.697766735088995	0.975236302427196
UBE2J2|ENSG00000160087.21|chr1	1789.48759616516	0.096844862207368	0.123228453140615	0.785896923471556	0.431927877097703	0.923416760257367
SCNN1D|ENSG00000162572.21|chr1	17.4813043920597	3.04128788370145	1.33185987887174	2.28348937598287	0.0224015579554363	0.30847181618155
ACAP3|ENSG00000131584.19|chr1	75.6948108406739	-0.383365901123713	0.539084694416147	-0.711142247395682	0.476996092377291	0.940127251529761
PUSL1|ENSG00000169972.12|chr1	470.031309421192	-0.148171874871304	0.273345416339212	-0.542068262404768	0.587771481450129	0.970740917477382
INTS11|ENSG00000127054.22|chr1	194.424918993156	0.304467266228298	0.366127060849867	0.831589081455925	0.405640927154398	0.90743052990824
CPTP|ENSG00000224051.7|chr1	170.181167627899	-0.0146390398680919	0.378388614538052	-0.0386878444690089	0.969139264863406	0.995262744228521
TAS1R3|ENSG00000169962.5|chr1	0.245631904492999	2.04165941308799	6.2107494542053	0.328729958943293	0.742359807729672	0.975236302427196
DVL1|ENSG00000107404.21|chr1	497.931980559056	-0.281129416430683	0.270725124035217	-1.03843120372571	0.299069348616922	0.84308574691834
MXRA8|ENSG00000162576.17|chr1	14.1999160083649	-3.3806388682888	1.93930633156707	-1.74322066259488	0.0812950775164036	0.541232439329108
AURKAIP1|ENSG00000175756.14|chr1	2912.26064649934	-0.170752609484479	0.116789055756873	-1.46206002247287	0.143724762564443	0.675261965775995
CCNL2|ENSG00000221978.13|chr1	482.627089653076	-0.0160502669926009	0.247105861893221	-0.0649529997776276	0.948211421928465	0.992741516453578
MRPL20|ENSG00000242485.6|chr1	5662.64975873671	0.0519278879200674	0.0892563785427138	0.5817834956772	0.560712522337572	0.963456400920407
ANKRD65|ENSG00000235098.9|chr1	2.83538704090054	-1.72986558025394	3.90827086609215	-0.442616604509713	0.65804307246625	0.975236302427196
TMEM88B|ENSG00000205116.4|chr1	0.0698491353950876	-0.636296686049396	6.23277661019478	-0.102088800199998	0.918686190712287	NA
VWA1|ENSG00000179403.12|chr1	53.0868667085141	0.379953619549126	0.745221808526045	0.509853060125316	0.610154409341516	0.975236302427196
ATAD3C|ENSG00000215915.10|chr1	0.731020183858153	-3.53297182775244	6.11997304039026	-0.57728552142889	0.563746592762511	0.964170812187125
ATAD3B|ENSG00000160072.20|chr1	200.597903156276	0.645813836371217	0.416834854327258	1.54932782051903	0.121302935242557	0.63657749559143
ATAD3A|ENSG00000197785.14|chr1	857.749174979448	0.0193008116595311	0.196079026495508	0.098433840704392	0.921587804153654	0.989176781573976
