baseMean	log2FoldChange	lfcSE	pvalue	padj
OR4F5|ENSG00000186092.7|chr1	0	NA	NA	NA	NA
SAMD11|ENSG00000187634.13|chr1	1497.08683964492	0.184830774961343	0.0928188426822909	0.025328496558363	0.129806882886771
NOC2L|ENSG00000188976.11|chr1	1131.4081355388	-0.14106377442708	0.0980091112516775	0.101071451416394	0.313157911830611
KLHL17|ENSG00000187961.15|chr1	98.7747555154342	0.385240044997533	0.427122857598133	0.0217548765379444	0.116892052636187
PLEKHN1|ENSG00000187583.11|chr1	6.78503344606077	-0.0500394461437923	0.208102855243086	0.0349198289644836	NA
PERM1|ENSG00000187642.10|chr1	0	NA	NA	NA	NA
HES4|ENSG00000188290.11|chr1	1060.98676562393	0.175135757498262	0.113240664144266	0.0648417182926818	0.239603796095443
ISG15|ENSG00000187608.10|chr1	43.7373028753632	-0.00156253679519123	0.185499331929881	0.980630863357961	NA
AGRN|ENSG00000188157.15|chr1	121.509841716372	-1.73267746514277	0.333172423460843	8.43873022222908e-09	5.14920769747641e-07
RNF223|ENSG00000237330.3|chr1	0	NA	NA	NA	NA
C1orf159|ENSG00000131591.18|chr1	72.6350485158545	0.0290697809757923	0.183324728384781	0.702404257321949	0.87279785722721
TTLL10|ENSG00000162571.14|chr1	0	NA	NA	NA	NA
TNFRSF18|ENSG00000186891.14|chr1	0	NA	NA	NA	NA
TNFRSF4|ENSG00000186827.12|chr1	0	NA	NA	NA	NA
SDF4|ENSG00000078808.20|chr1	2412.1631478822	-0.135658037267736	0.0744297352428751	0.0488128789675619	0.198981268208896
B3GALT6|ENSG00000176022.7|chr1	1218.80719400151	0.0152483773259651	0.0916239410962341	0.85265530080655	0.944900422839964
C1QTNF12|ENSG00000184163.3|chr1	0	NA	NA	NA	NA
UBE2J2|ENSG00000160087.21|chr1	1659.98542813373	0.266430038438723	0.0928189461613168	0.00142217844481929	0.0162966292919844
SCNN1D|ENSG00000162572.21|chr1	29.8245159150625	0.0140161340297502	0.191066117453999	0.814672225019409	NA
ACAP3|ENSG00000131584.19|chr1	81.1087554482497	0.178830653369899	0.265059906074929	0.0864866294435368	0.285645792712196
PUSL1|ENSG00000169972.12|chr1	390.709586971655	0.122006934157515	0.14525026490153	0.251320044740154	0.5319810846453
INTS11|ENSG00000127054.22|chr1	184.049686299294	-0.0214295114643744	0.155876013862509	0.826162896556397	0.931802830747094
CPTP|ENSG00000224051.7|chr1	169.191018638405	-0.0158753043074088	0.162250094237462	0.865068492442475	0.9496979300254
TAS1R3|ENSG00000169962.5|chr1	0.53014439774689	-0.00310259834330044	0.200018737839098	0.696603981137342	NA
DVL1|ENSG00000107404.21|chr1	579.084768861893	0.114430979372631	0.126753043599364	0.253314557753185	0.534163535525029
MXRA8|ENSG00000162576.17|chr1	17.4505354220994	0.0638383761493476	0.211683395850131	0.0612155980069215	NA
AURKAIP1|ENSG00000175756.14|chr1	2094.3102188492	-0.100696028840963	0.0829399990641327	0.181057045625543	0.443423761312031
CCNL2|ENSG00000221978.13|chr1	794.423378564886	0.176394469483578	0.117758697574558	0.0698023059312324	0.250339336156061
MRPL20|ENSG00000242485.6|chr1	4017.04209111424	-0.255329859726646	0.0662393146771162	5.58487985965202e-05	0.00123360140429373
ANKRD65|ENSG00000235098.9|chr1	3.45546792577848	0.00956170617963602	0.199968987515088	0.452302383907625	NA
TMEM88B|ENSG00000205116.4|chr1	0.154511686706835	0.00254286798660831	0.19998618556464	0.844577289943084	NA
VWA1|ENSG00000179403.12|chr1	39.5694924749274	-0.00425533086934371	0.190633253366065	0.920054683948973	NA
ATAD3C|ENSG00000215915.10|chr1	0.622245350054114	0.00158304100173923	0.199912511000563	0.906764826733517	NA
ATAD3B|ENSG00000160072.20|chr1	219.213597633262	0.0507789513113657	0.161479192386531	0.607558168206489	0.819251514567657
ATAD3A|ENSG00000197785.14|chr1	765.036386529353	0.117463941627917	0.11114258529064	0.208063956097945	0.480560303615858
TMEM240|ENSG00000205090.9|chr1	1.74881075195222	-0.00546475629899484	0.199833251322299	0.695395272656663	NA
SSU72|ENSG00000160075.12|chr1	857.305277257074	-0.0975599733998978	0.106540934365555	0.283190876699201	0.563783142172573
FNDC10|ENSG00000228594.4|chr1	77.2919793661934	-0.200252613266969	0.299020082035801	0.0562544332255788	0.218005719705587
MIB2|ENSG00000197530.13|chr1	94.6248705778273	-0.0422735591938546	0.177325623496023	0.636420082597938	0.834860768761488
MMP23B|ENSG00000189409.14|chr1	0	NA	NA	NA	NA
CDK11B|ENSG00000248333.9|chr1	3.43840867744234	-0.0033930267742629	0.199494141850002	0.769456434200982	NA
SLC35E2B|ENSG00000189339.12|chr1	305.526154135244	-0.318718345791528	0.205072928849929	0.0210445495129508	0.11439751497491
CDK11A|ENSG00000008128.23|chr1	0	NA	NA	NA	NA
NADK|ENSG00000008130.15|chr1	299.139552726236	0.0888307366758672	0.152111200937822	0.396268339151584	0.670497018221303
CALML6|ENSG00000169885.10|chr1	0	NA	NA	NA	NA
TMEM52|ENSG00000178821.13|chr1	10.9803775318077	-0.0438759952309092	0.203079497037358	0.265417991932323	NA
CFAP74|ENSG00000142609.20|chr1	0.706859196995854	-0.00317442832897845	0.2000225319185	0.686140584535851	NA
GABRD|ENSG00000187730.9|chr1	13.7934011566304	-0.00155862159553354	0.195570523211112	0.964670375917445	NA
PRKCZ|ENSG00000067606.17|chr1	303.190236753363	0.659206668400371	0.216960196043501	0.000172413373255599	0.00315810837353549
FAAP20|ENSG00000162585.17|chr1	156.30490459966	-0.0504371261357615	0.165936229595052	0.602402503884972	0.816727627472432
SKI|ENSG00000157933.10|chr1	1371.95644517066	-0.240865586916195	0.095564729697467	0.00445198712573361	0.0386258727771841
MORN1|ENSG00000116151.14|chr1	3.21342629015075	0.0142142812320521	0.200275778307205	0.404576207904072	NA
RER1|ENSG00000157916.20|chr1	1545.64681753863	-0.0444459887241112	0.0834799372950599	0.550308789788724	0.782771594818973
PEX10|ENSG00000157911.11|chr1	574.452683063772	-0.124980137713832	0.130330262670844	0.219135607148468	0.496155132790003
PLCH2|ENSG00000149527.18|chr1	0	NA	NA	NA	NA
PANK4|ENSG00000157881.16|chr1	0.309023373413671	0.00293933723120696	0.20000105687627	0.765893962947458	NA
HES5|ENSG00000197921.6|chr1	0	NA	NA	NA	NA
TNFRSF14|ENSG00000157873.18|chr1	0	NA	NA	NA	NA
PRXL2B|ENSG00000157870.17|chr1	0	NA	NA	NA	NA
MMEL1|ENSG00000142606.16|chr1	0	NA	NA	NA	NA
TTC34|ENSG00000215912.13|chr1	0	NA	NA	NA	NA
ACTRT2|ENSG00000169717.7|chr1	0	NA	NA	NA	NA
PRDM16|ENSG00000142611.17|chr1	157.026381415425	-0.129883790379267	0.212862776493694	0.18408805530888	0.447459710028858
ARHGEF16|ENSG00000130762.15|chr1	32.9639560389311	0.116232191378415	0.236116127339446	0.0897190673975985	NA
