#slamdunk v0.4.2	3	sample info:	sample_0	0	NA	-1
#annotation:	gencode.v41.customized.canonical.bed	27b6d2bfeb860a3d83e1c37a786d42ca
Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr1	70009	71585	OR4F5|ENSG00000186092.7	1576	+	0	0	484	0	0	0	0	0	-1.0	-1.0
chr1	944154	944574	SAMD11|ENSG00000187634.13	420	+	0.02424352073816093	118.01585838096995	81	44218	1072	2048	702	0	-1.0	-1.0
chr1	944203	944693	NOC2L|ENSG00000188976.11	490	-	0.005507113354749885	75.66153420615895	118	52296	288	1313	139	0	-1.0	-1.0
chr1	965192	965719	KLHL17|ENSG00000187961.15	527	+	0.022249190938511326	4.898119122257054	133	2472	55	85	14	0	-1.0	-1.0
chr1	974576	975865	PLEKHN1|ENSG00000187583.11	1289	+	0.0	0.11524986170016596	206	43	0	2	0	0	-1.0	-1.0
chr1	975198	976171	PERM1|ENSG00000187642.10	973	-	0	0	169	0	0	0	0	0	-1.0	-1.0
chr1	998964	999058	HES4|ENSG00000188290.11	94	-	0.011506238538707705	82.2884012539185	22	27811	320	1428	222	0	-1.0	-1.0
chr1	1014479	1014540	ISG15|ENSG00000187608.10	61	+	0.0	4.091370090355891	8	430	0	71	2	0	-1.0	-1.0
chr1	1054982	1056116	AGRN|ENSG00000188157.15	1134	+	0.002554278416347382	5.531993361607966	246	2349	6	96	5	0	-1.0	-1.0
chr1	1070967	1071816	RNF223|ENSG00000237330.3	849	-	0	0	147	0	0	0	0	0	-1.0	-1.0
chr1	1081823	1082892	C1orf159|ENSG00000131591.18	1069	-	0.0016666666666666668	5.762493085008298	174	2400	4	100	4	0	-1.0	-1.0
chr1	1197848	1197936	TTLL10|ENSG00000162571.14	88	+	0	0	10	0	0	0	0	0	-1.0	-1.0
chr1	1203508	1203843	TNFRSF18|ENSG00000186891.14	335	-	0	0	54	0	0	0	0	0	-1.0	-1.0
chr1	1211340	1211554	TNFRSF4|ENSG00000186827.12	214	-	0	0	34	0	0	0	0	0	-1.0	-1.0
chr1	1216931	1217511	SDF4|ENSG00000078808.20	580	-	0.010291183015891258	214.6528674165591	104	95713	985	3725	638	0	-1.0	-1.0
chr1	1233269	1235041	B3GALT6|ENSG00000176022.7	1772	+	0.04397095356392127	94.33201180158584	423	52330	2301	1637	1075	0	-1.0	-1.0
chr1	1242453	1242547	C1QTNF12|ENSG00000184163.3	94	-	0	0	12	0	0	0	0	0	-1.0	-1.0
chr1	1253912	1255202	UBE2J2|ENSG00000160087.21	1290	-	0.028793794308024246	112.31099022681173	296	77864	2242	1949	1041	0	-1.0	-1.0
chr1	1291611	1292025	SCNN1D|ENSG00000162572.21	414	+	0.0	0.34574958510049786	69	112	0	6	0	0	-1.0	-1.0
chr1	1292391	1293563	ACAP3|ENSG00000131584.19	1172	-	0.007889546351084813	4.091370090355891	232	1521	12	71	12	0	-1.0	-1.0
chr1	1311380	1311677	PUSL1|ENSG00000169972.12	297	+	0.009996364958197019	41.489950212059746	53	16506	165	720	127	0	-1.0	-1.0
chr1	1311600	1311858	INTS11|ENSG00000127054.22	258	-	0.004446561854851517	12.101235478517426	53	6297	28	210	28	0	-1.0	-1.0
chr1	1327764	1328896	CPTP|ENSG00000224051.7	1132	+	0.050999592003263976	15.27060667527199	175	4902	250	265	165	0	-1.0	-1.0
chr1	1334465	1335314	TAS1R3|ENSG00000169962.5	849	+	0.0	0.46099944680066385	120	144	0	8	0	0	-1.0	-1.0
chr1	1335278	1336141	DVL1|ENSG00000107404.21	863	-	0.01687696533057358	40.337451595058084	176	25123	424	700	210	0	-1.0	-1.0
chr1	1352691	1353603	MXRA8|ENSG00000162576.17	912	-	0.005194805194805195	1.3253734095519085	205	770	4	23	4	0	-1.0	-1.0
chr1	1373736	1373800	AURKAIP1|ENSG00000175756.14	64	-	0.006068616318248664	243.23483311820027	17	53719	326	4221	440	0	-1.0	-1.0
chr1	1385711	1387230	CCNL2|ENSG00000221978.13	1519	-	0.031891655744866756	23.62622164853402	395	16023	511	410	225	0	-1.0	-1.0
chr1	1401909	1402082	MRPL20|ENSG00000242485.6	173	-	0.010962336543731892	546.2843444587867	56	332046	3640	9480	1898	0	-1.0	-1.0
chr1	1418420	1419099	ANKRD65|ENSG00000235098.9	679	-	0.06264501160092807	0.6338742393509128	150	431	27	11	10	0	-1.0	-1.0
chr1	1427788	1430255	TMEM88B|ENSG00000205116.4	2467	+	0	0	534	0	0	0	0	0	-1.0	-1.0
chr1	1439788	1442882	VWA1|ENSG00000179403.12	3094	+	0.06256627783669141	2.0744975106029875	546	943	59	36	20	0	-1.0	-1.0
chr1	1468531	1470163	ATAD3C|ENSG00000215915.10	1632	+	0	0	356	0	0	0	0	0	-1.0	-1.0
chr1	1495818	1497848	ATAD3B|ENSG00000160072.20	2030	+	0.011042097998619738	11.640236031716762	425	4347	48	202	40	0	-1.0	-1.0
chr1	1534073	1534685	ATAD3A|ENSG00000197785.14	612	+	0.006080542264752791	56.06905771713074	115	20064	122	973	87	0	-1.0	-1.0
chr1	1534778	1535358	TMEM240|ENSG00000205090.9	580	-	0.041666666666666664	0.46099944680066385	91	120	5	8	5	0	-1.0	-1.0
chr1	1541673	1542065	SSU72|ENSG00000160075.12	392	-	0.015211765448463043	81.82740180711784	116	47529	723	1420	343	0	-1.0	-1.0
chr1	1598012	1599334	FNDC10|ENSG00000228594.4	1322	-	0.005305039787798408	4.725244329706804	250	1885	10	82	10	0	-1.0	-1.0
chr1	1630531	1630605	MIB2|ENSG00000197530.13	74	+	0.0	4.033745159505808	15	1039	0	70	0	0	-1.0	-1.0
chr1	1634626	1634654	MMP23B|ENSG00000189409.14	28	+	0	0	8	0	0	0	0	0	-1.0	-1.0
chr1	1635225	1635763	CDK11B|ENSG00000248333.9	538	-	0	0	139	0	0	0	0	0	-1.0	-1.0
chr1	1661478	1665781	SLC35E2B|ENSG00000189339.12	4303	-	0.0136986301369863	20.341600590079292	1091	13578	186	353	101	0	-1.0	-1.0
chr1	1702379	1702906	CDK11A|ENSG00000008128.23	527	-	0	0	139	0	0	0	0	0	-1.0	-1.0
chr1	1751232	1752903	NADK|ENSG00000008130.15	1671	-	0.009969003937337689	21.6669739996312	446	11937	119	376	57	0	-1.0	-1.0
chr1	1917194	1917296	CALML6|ENSG00000169885.10	102	+	0	0	15	0	0	0	0	0	-1.0	-1.0
chr1	1917591	1917881	TMEM52|ENSG00000178821.13	290	-	0.029069767441860465	1.2101235478517425	53	516	15	21	5	0	-1.0	-1.0
chr1	1921957	1922286	CFAP74|ENSG00000142609.20	329	-	0	0	47	0	0	0	0	0	-1.0	-1.0
chr1	2030283	2030758	GABRD|ENSG00000187730.9	475	+	0.0	1.4982482021021575	93	764	0	26	0	0	-1.0	-1.0
chr1	2185010	2185395	PRKCZ|ENSG00000067606.17	385	+	0.03146897693973755	19.36197676562788	71	7849	247	336	159	0	-1.0	-1.0
chr1	2189548	2189708	FAAP20|ENSG00000162585.17	160	-	0.0007518796992481203	18.612852664576803	26	3990	3	323	14	0	-1.0	-1.0
chr1	2306766	2310213	SKI|ENSG00000157933.10	3447	+	0.046868481671594145	81.36640236031717	896	55133	2584	1412	1057	0	-1.0	-1.0
chr1	2321253	2321382	MORN1|ENSG00000116151.14	129	-	0.0	0.05762493085008298	29	17	0	1	0	0	-1.0	-1.0
chr1	2403125	2405436	RER1|ENSG00000157916.20	2311	+	0.010319140931517451	150.51631938041675	587	93031	960	2612	484	0	-1.0	-1.0
chr1	2403974	2405765	PEX10|ENSG00000157911.11	1791	-	0.013251645110052189	44.601696477964225	380	22035	292	774	138	0	-1.0	-1.0
chr1	2505214	2505532	PLCH2|ENSG00000149527.18	318	+	0	0	68	0	0	0	0	0	-1.0	-1.0
chr1	2508537	2508846	PANK4|ENSG00000157881.16	309	-	0	0	81	0	0	0	0	0	-1.0	-1.0
chr1	2528745	2529468	HES5|ENSG00000197921.6	723	-	0	0	157	0	0	0	0	0	-1.0	-1.0
chr1	2563274	2563829	TNFRSF14|ENSG00000157873.18	555	+	0	0	120	0	0	0	0	0	-1.0	-1.0
chr1	2589428	2591468	PRXL2B|ENSG00000157870.17	2040	+	0	0	440	0	0	0	0	0	-1.0	-1.0
chr1	2590639	2590989	MMEL1|ENSG00000142606.16	350	-	0	0	60	0	0	0	0	0	-1.0	-1.0
chr1	2636986	2641367	TTC34|ENSG00000215912.13	4381	-	0	0	946	0	0	0	0	0	-1.0	-1.0
chr1	3022821	3022903	ACTRT2|ENSG00000169717.7	82	+	0	0	17	0	0	0	0	0	-1.0	-1.0
chr1	3433812	3438621	PRDM16|ENSG00000142611.17	4809	+	0.059588753671842215	9.623363451963858	1204	7149	426	167	126	0	-1.0	-1.0
