gene_name	DMSO-P0-1	DMSO-P0-2	DMSO-P0-3	TPG-P0-1	TPG-P0-2	TPG-P0-3
DNAJC25	309	324	321	262	353	189
DNAJC25-GNG10	481	575	484	420	442	572
DNAJC27	27	18	14	38	11	1
DNAJC28	0	0	0	0	0	0
DNAJC3	249	341	266	432	452	306
DNAJC30	176	280	209	280	252	199
DNAJC4	95	92	23	2	52	19
DNAJC5	762	932	695	676	478	577
DNAJC5B	0	0	0	0	0	0
DNAJC5G	0	0	1	17	0	0
DNAJC6	114	112	119	197	140	146
DNAJC7	1704	2118	1667	2179	1934	1473
DNAJC8	2897	3651	2877	3194	2546	2621
DNAJC9	1297	1648	1269	1382	1177	1030
DNAL1	161	268	145	175	175	81
DNAL4	165	232	116	167	129	158
DNALI1	0	13	0	0	0	0
DNASE1	16	18	13	5	14	0
DNASE1L1	308	264	202	145	162	196
DNASE1L2	1	4	15	0	0	0
DNASE1L3	0	0	0	0	0	0
DNASE2	594	430	534	550	330	597
DNASE2B	0	0	0	0	0	12
DND1	0	0	0	0	8	0
DNER	1	0	0	0	0	0
DNHD1	1	3	17	11	0	14
DNLZ	569	685	462	562	498	287
DNM1	106	194	79	135	85	72
DNM1L	1101	1164	1146	981	991	876
DNM2	448	650	527	579	718	385
DNM3	31	60	14	32	26	52
DNMBP	37	69	39	89	27	43
DNMT1	3993	5101	3934	5927	5369	4460
DNMT3A	155	88	113	90	71	77
DNMT3B	162	166	164	175	165	163
DNMT3L	0	0	0	0	0	0
DNPEP	442	436	374	269	391	235
DNPH1	7820	10146	7823	8597	7804	5999
DNTT	0	0	0	0	0	0
DNTTIP1	1179	1392	946	2242	1485	928
DNTTIP2	1005	1290	897	1218	815	1033
DOC2A	34	20	18	13	52	21
DOC2B	0	0	0	0	0	0
DOCK1	93	141	105	98	136	25
DOCK10	0	4	0	0	0	0
DOCK11	96	185	115	153	61	119
DOCK2	3	2	0	0	0	0
DOCK3	3	14	20	0	16	0
DOCK4	147	136	85	115	120	79
DOCK5	139	137	74	149	82	9
DOCK6	25	16	20	0	14	55
DOCK7	187	132	92	175	226	92
DOCK8	7	21	29	19	19	0
DOCK9	229	324	164	192	81	81
DOHH	75	119	76	101	106	89
DOK1	41	43	7	85	32	61
DOK2	0	0	0	0	0	0
DOK3	21	35	121	23	21	38
DOK4	44	65	29	65	53	23
DOK5	0	0	0	0	0	0
DOK6	0	0	0	0	0	0
DOK7	0	0	0	0	0	0
DOLK	435	379	283	310	243	258
DOLPP1	794	1111	932	1663	1490	796
DONSON	1598	1637	1261	1449	1289	1126
DOP1A	8	16	1	37	9	29
DOP1B	228	243	209	321	118	188
DOT1L	154	268	116	194	128	200
DPAGT1	389	556	440	452	374	463
DPCD	606	810	539	552	497	449
DPEP1	0	9	5	0	0	0
DPEP2	0	0	0	0	0	0
DPEP2NB	0	0	0	0	0	1
DPEP3	0	0	0	0	0	15
DPF1	416	456	476	649	577	479
DPF2	296	372	226	424	335	390
DPF3	9	18	3	41	20	8
DPH1	1135	1313	1098	1233	982	1356
DPH2	759	907	730	872	767	583
DPH3	804	1077	839	706	607	707
DPH5	735	1001	596	929	828	682
DPH6	445	297	211	283	150	279
DPH7	537	530	525	510	566	577
DPM1	1080	1230	906	1279	1005	978
DPM2	545	761	514	480	440	248
DPM3	2311	2635	2102	1652	1728	1141
DPP10	0	0	0	0	0	0
DPP3	350	451	325	529	396	431
DPP4	21	0	17	0	0	15
DPP6	0	2	3	0	0	0
DPP7	16	0	7	0	4	3
DPP8	640	619	536	470	410	486
DPP9	599	808	508	443	352	478
DPPA2	0	0	0	0	0	0
DPPA3	0	0	0	0	0	0
DPPA4	0	0	0	0	0	0
DPPA5	0	0	0	0	0	0
DPRX	0	0	0	0	0	0
DPT	0	0	0	0	0	0
DPY19L1	350	390	310	339	297	179
DPY19L2	69	74	48	57	84	18
DPY19L3	350	479	273	302	210	181
DPY19L4	89	169	109	84	75	107
DPY30	1461	1663	1250	1023	879	1097
DPYD	0	3	1	0	22	0
DPYS	0	0	0	0	0	0
DPYSL2	273	322	410	338	247	274
DPYSL3	841	1023	776	798	698	560
DPYSL4	127	146	111	133	49	153
DPYSL5	224	529	312	250	208	188
DQX1	0	0	0	1	0	0
DR1	836	1021	736	804	558	700
DRAM1	190	105	131	116	144	40
DRAM2	281	394	352	273	357	196
DRAP1	871	940	744	825	647	382
DRAXIN	28	26	17	15	12	0
DRC1	0	0	0	0	0	0
DRC3	24	16	2	0	0	5
DRC7	0	0	1	1	0	12
DRD1	0	0	0	0	0	0
DRD2	0	0	0	0	0	0
DRD3	0	0	0	0	0	0
DRD4	0	0	0	0	0	0
DRD5	0	0	0	0	0	21
DRG1	1347	1930	1477	1897	1825	1462
DRG2	453	629	448	562	498	566
DRGX	0	0	0	0	0	0
DRICH1	0	0	0	0	0	0
DROSHA	871	1080	709	1014	1114	990
DRP2	0	0	0	0	0	0
DSC1	0	0	0	0	0	0
DSC2	122	169	209	66	22	126
DSC3	231	268	207	260	357	187
DSCAM	0	0	0	0	0	0
DSCAML1	0	0	0	0	0	0
DSCC1	275	364	226	284	281	258
DSE	314	318	278	198	231	131
DSEL	0	0	0	0	0	0
DSG1	0	0	0	0	0	0
DSG2	539	675	514	552	586	388
DSG3	0	0	0	0	0	0
DSG4	0	0	0	0	0	0
DSN1	1245	1346	1085	1801	1857	1215
DSP	1396	1816	1505	1858	1998	1460
DSPP	0	0	0	0	0	0
DST	430	401	439	616	488	398
DSTN	3562	4037	3205	3049	2543	2302
DSTYK	309	352	345	239	345	380
DTD1	2089	2937	2277	1793	1808	1757
DTD2	279	263	335	173	231	216
DTHD1	0	0	0	0	0	0
DTL	650	606	378	815	744	842
DTNA	286	374	244	254	200	167
DTNB	223	214	229	249	152	156
DTNBP1	724	807	579	1188	1047	729
DTWD1	159	186	165	330	197	144
DTWD2	249	192	90	95	159	63
DTX1	0	0	0	0	0	0
DTX2	0	0	0	0	0	0
DTX3	671	869	773	852	630	497
DTX3L	57	62	19	66	58	44
DTX4	29	21	68	42	0	14
DTYMK	2830	3403	2444	2404	2165	2015
DUOX1	0	0	0	0	0	0
DUOX2	0	0	10	0	0	0
DUOXA1	0	0	0	0	0	0
DUOXA2	0	0	0	0	0	0
DUS1L	2176	2930	2071	1181	1267	804
DUS2	97	142	59	124	148	207
DUS3L	584	724	597	712	537	454
DUS4L	0	0	0	0	0	0
DUS4L-BCAP29	25	52	47	56	59	21
DUSP1	181	256	133	248	316	266
DUSP10	14	36	17	0	9	12
DUSP11	151	186	151	316	291	308
DUSP12	415	473	281	517	536	350
DUSP13	0	0	0	0	0	0
DUSP14	14	5	0	0	0	0
DUSP15	0	0	0	0	0	0
DUSP16	0	0	0	0	0	0
DUSP18	224	289	259	140	148	99
DUSP19	121	125	131	65	66	31
DUSP2	0	0	0	0	0	0
DUSP21	0	0	0	0	0	0
DUSP22	337	369	315	239	219	122
DUSP23	0	0	0	0	0	0
DUSP26	15	14	0	0	16	37
DUSP28	106	125	75	173	113	57
DUSP29	0	0	0	0	0	0
DUSP3	843	1164	760	811	731	586
DUSP4	48	55	24	57	86	29
DUSP5	114	245	157	139	122	120
DUSP6	185	276	156	121	118	140
DUSP7	184	196	223	141	114	59
DUSP8	0	0	0	0	0	0
DUSP9	131	112	73	107	89	45
DUT	4722	6061	4214	4032	3962	3542
DUX4	0	0	0	0	0	0
DUXA	0	0	0	0	0	0
DUXB	0	0	0	0	0	0
DVL1	490	607	406	470	523	224
DVL2	624	656	445	728	660	505
DVL3	287	374	313	229	235	132
DXO	0	0	0	0	0	0
DYDC1	0	0	0	0	0	0
DYDC2	11	0	0	0	0	0
DYM	770	810	573	587	578	559
DYNAP	0	0	0	0	0	0
DYNC1H1	1547	1661	1346	2963	2757	2495
DYNC1I1	108	96	102	93	74	57
DYNC1I2	137	224	165	224	178	61
DYNC1LI1	706	843	692	1086	913	622
DYNC1LI2	1586	1789	1548	1769	1334	1191
DYNC2H1	317	464	319	408	424	333
DYNC2I1	50	94	81	179	86	46
DYNC2I2	905	1289	893	968	786	748
DYNC2LI1	296	302	337	413	304	224
DYNLL1	10011	12316	9171	7699	6470	5375
DYNLL2	1600	2047	1613	1862	1901	1123
DYNLRB1	6228	8689	6466	5906	5607	4157
DYNLRB2	61	22	0	0	51	29
DYNLT1	3307	4008	2813	2873	2463	1944
DYNLT2	0	0	0	0	0	0
DYNLT2B	323	372	334	278	263	244
DYNLT3	396	471	257	317	229	212
DYNLT4	0	0	0	0	0	0
DYNLT5	0	0	0	0	0	0
DYRK1A	451	477	370	384	415	278
DYRK1B	0	0	0	0	0	0
DYRK2	439	549	435	508	282	318
DYRK3	391	381	320	340	308	120
DYRK4	685	1004	774	877	525	667
DYSF	0	5	0	0	0	0
DYTN	0	0	0	0	0	0
DZANK1	43	93	35	73	108	31
DZIP1	1068	1473	943	1095	1053	730
DZIP1L	22	16	37	38	7	30
DZIP3	163	318	211	231	205	127
E2F1	436	524	378	514	525	264
E2F2	0	0	0	0	0	0
E2F3	794	1122	872	754	810	229
E2F4	545	666	450	370	304	432
E2F5	186	224	120	245	194	33
E2F6	135	154	53	124	54	146
E2F7	108	203	130	245	252	169
E2F8	42	56	57	85	147	92
E4F1	223	208	146	319	312	174
EAF1	225	289	185	293	309	179
EAF2	77	136	46	152	96	21
EAPP	912	1386	1006	1264	1382	898
EARS2	673	746	668	843	553	605
EBAG9	438	656	435	510	287	332
EBF1	14	13	32	10	8	0
EBF2	78	76	81	56	48	58
EBF3	70	104	103	244	175	95
EBF4	13	23	27	12	9	42
EBI3	0	0	0	0	0	0
EBLN1	0	0	0	0	0	0
EBLN2	0	7	6	0	0	0
EBNA1BP2	4043	4822	3554	3700	3927	2445
EBP	1851	2379	1948	1872	1488	1496
EBPL	1947	2524	1998	1769	1364	1540
ECD	902	985	711	1067	1099	786
ECE1	467	625	487	454	476	400
ECE2	0	0	0	0	0	0
ECEL1	67	34	78	56	35	14
ECH1	0	0	0	0	0	0
ECHDC1	1362	1607	1104	1180	1025	1021
ECHDC2	12	19	16	7	12	22
ECHDC3	0	0	0	23	0	0
ECHS1	3464	4266	3461	3839	3338	2396
ECI1	2211	2400	1992	2280	2061	1705
ECI2	2231	2635	2089	1828	1460	1233
ECM1	3	0	0	1	0	0
ECM2	0	0	0	0	0	0
ECPAS	369	496	364	444	531	417
ECRG4	0	0	0	0	0	0
ECSCR	0	0	0	0	0	0
ECSIT	539	506	286	395	397	265
ECT2	204	211	191	180	229	207
ECT2L	0	0	0	0	0	0
EDA	160	179	184	130	154	92
EDA2R	113	113	102	95	50	43
EDAR	0	0	0	0	0	0
EDARADD	891	1282	920	945	577	656
EDC3	533	683	464	924	615	484
EDC4	1164	1387	1066	953	1048	542
EDDM13	0	0	0	0	0	0
EDDM3A	0	0	0	0	0	0
EDDM3B	0	0	0	0	0	0
EDEM1	72	122	82	49	40	44
EDEM2	116	235	134	94	60	21
EDEM3	249	259	270	254	253	134
EDF1	3984	5778	4281	4662	4703	3103
EDIL3	62	69	132	98	97	43
EDN1	0	0	0	0	0	0
EDN2	0	3	5	0	0	23
EDN3	0	0	0	0	0	0
EDNRA	50	46	39	19	38	0
EDNRB	0	0	0	0	0	0
EDRF1	382	617	378	592	601	425
EEA1	692	671	738	1057	929	673
EED	353	374	235	670	494	261
EEF1A1	18017	23729	18767	25292	22345	18085
EEF1A2	852	968	687	969	732	671
EEF1AKMT1	236	270	314	246	327	204
EEF1AKMT2	176	252	202	224	173	117
EEF1AKMT3	52	57	65	3	6	71
EEF1AKMT4	170	228	159	130	178	183
EEF1AKMT4-ECE2	0	0	0	0	0	0
EEF1B2	11	10	0	11	0	3
EEF1D	0	0	0	0	0	0
EEF1E1	2277	2933	1922	2559	2678	1648
EEF1E1-BLOC1S5	45	95	54	54	23	87
EEF1G	7294	9194	7008	11262	10173	7982
EEF2	16092	19560	15434	18381	17632	14142
EEF2K	0	0	0	0	0	0
EEF2KMT	165	344	275	290	196	83
EEFSEC	0	0	0	0	0	0
EEPD1	42	51	46	29	20	17
EFCAB1	0	0	0	0	0	0
EFCAB10	17	6	0	0	6	0
EFCAB11	177	278	199	274	160	146
EFCAB12	0	2	0	2	0	0
EFCAB13	6	9	6	0	4	0
EFCAB14	398	608	585	456	340	189
EFCAB2	69	107	95	57	41	90
EFCAB3	0	0	0	0	0	0
EFCAB5	43	46	0	31	15	54
EFCAB6	22	18	18	18	18	4
EFCAB7	10	28	26	36	32	8
EFCAB8	0	0	0	0	0	0
EFCAB9	0	0	0	0	0	0
EFCC1	0	0	0	0	0	0
EFEMP1	66	73	100	34	68	58
EFEMP2	0	0	0	0	0	0
EFHB	0	0	0	0	0	0
EFHC1	89	198	151	95	165	87
EFHC2	0	0	0	0	0	0
EFHD1	327	559	378	534	311	199
EFHD2	210	254	181	161	117	89
EFL1	231	309	221	277	341	231
EFNA1	140	138	99	119	151	66
EFNA2	50	45	51	1	10	0
EFNA3	78	121	96	21	41	5
EFNA4	84	128	61	58	110	0
EFNA5	801	1058	756	889	620	397
EFNB1	117	405	231	251	153	198
EFNB2	773	1224	889	1202	1131	715
EFNB3	177	263	328	112	171	83
EFR3A	41	54	61	47	2	26
EFR3B	84	86	78	96	72	61
EFS	0	0	0	0	0	0
EFTUD2	1757	1733	1507	1798	1712	1754
EGF	0	3	0	8	8	0
EGFL6	0	0	0	0	0	0
EGFL7	49	81	14	29	9	27
EGFL8	0	0	0	0	0	0
EGFLAM	48	56	31	51	42	59
EGFR	15	89	60	117	98	26
EGLN1	481	515	360	335	362	376
EGLN2	248	276	261	225	169	125
EGLN3	199	136	179	66	97	40
EGR1	213	331	349	301	387	388
EGR2	0	0	0	0	7	0
EGR3	9	21	2	19	41	119
EGR4	0	0	0	22	0	20
EHBP1	135	79	97	228	122	78
EHBP1L1	2	2	9	1	0	0
EHD1	265	394	285	277	338	122
EHD2	0	0	0	0	0	0
EHD3	106	72	50	24	31	24
EHD4	186	274	190	118	189	128
EHF	0	0	0	0	0	0
EHHADH	356	402	390	409	266	343
EHMT1	445	518	413	421	460	384
EHMT2	0	0	0	0	0	0
EI24	2934	3818	2917	1430	919	1113
EID1	6038	6941	5314	3603	3424	2999
EID2	1314	1259	976	1283	1140	800
EID2B	393	494	401	468	395	282
EID3	0	0	0	0	0	0
EIF1	6657	7362	6033	7338	6284	5102
EIF1AD	245	282	260	252	227	171
EIF1AX	5180	6809	5225	4761	3927	3636
EIF1AY	0	0	0	0	0	0
EIF1B	614	797	485	784	663	469
EIF2A	717	957	678	1083	1134	808
EIF2AK1	1677	2538	2077	1649	1597	1199
EIF2AK2	815	1064	845	772	483	416
EIF2AK3	51	128	53	261	216	94
EIF2AK4	505	657	450	360	324	422
EIF2B1	1605	1654	1267	1286	1073	678
EIF2B2	912	1077	719	1179	1114	761
EIF2B3	1334	1775	1304	1317	1907	1181
EIF2B4	341	360	380	475	379	306
EIF2B5	413	593	517	467	668	573
EIF2D	1411	1779	1397	1226	899	930
EIF2S1	1795	2205	1644	1892	1732	1168
EIF2S2	5900	7277	6197	7070	6276	5620
EIF2S3	3792	4433	3882	3708	3575	3033
EIF2S3B	51	52	27	18	31	1
EIF3A	959	1163	938	906	1077	510
EIF3B	2681	2734	2195	2886	2356	2194
EIF3C	4	12	12	0	14	0
EIF3CL	7	19	20	3	14	18
EIF3D	5201	6298	4855	6671	7211	5133
EIF3E	1809	2146	1887	2418	2271	1393
EIF3F	636	764	683	923	688	582
EIF3G	3345	4190	3257	3517	3733	2390
EIF3H	2294	2710	2069	2640	2801	2337
EIF3I	9498	10421	8747	9549	9587	7514
EIF3J	1347	1610	1219	1217	1355	726
EIF3K	0	0	0	0	0	0
EIF3L	2139	3077	2388	2906	2919	2273
EIF3M	5751	6729	4885	6997	6288	5383
EIF4A1	12942	17015	12361	14213	13294	10690
EIF4A2	703	1087	775	1684	1408	938
EIF4A3	3316	4199	2991	3883	3261	2976
EIF4B	528	883	583	897	899	741
EIF4E	528	589	503	306	216	250
EIF4E1B	0	0	0	10	0	0
EIF4E2	1498	1872	1206	873	452	564
EIF4E3	120	89	51	71	37	41
EIF4EBP1	946	1424	888	1047	1127	1050
EIF4EBP2	866	750	625	248	284	283
EIF4EBP3	77	112	37	126	150	88
EIF4ENIF1	62	101	90	73	70	83
EIF4G1	9753	11690	9283	7783	6781	5843
EIF4G2	11980	14144	11633	10472	8869	7741
EIF4G3	4106	4798	3487	2836	2914	2234
EIF4H	883	837	664	704	642	549
EIF5	1163	1224	929	1973	1844	1752
EIF5A	0	13	4	0	0	35
EIF5A2	167	247	110	81	64	27
EIF5AL1	13155	16232	11602	9433	9124	7278
EIF5B	1611	2450	1974	2175	2234	1298
EIF6	2890	3768	3214	4129	3732	3461
EIPR1	424	390	368	503	429	438
ELAC1	86	105	84	51	70	36
ELAC2	939	1211	1063	1182	1180	840
ELANE	0	0	0	0	0	0
ELAPOR1	10	0	0	0	0	1
ELAPOR2	60	34	45	30	70	53
ELAVL1	1483	1994	1629	1623	1425	1268
ELAVL2	264	347	230	294	324	247
ELAVL3	0	2	0	0	0	0
ELAVL4	0	0	0	0	16	0
ELF1	377	406	349	586	487	511
ELF2	984	1518	1101	1248	983	917
ELF3	0	0	0	0	0	0
ELF4	252	270	223	209	211	267
ELF5	0	0	0	0	0	0
ELFN1	4	0	0	0	0	0
ELFN2	6	8	5	37	7	13
ELK1	293	365	268	130	187	169
ELK3	79	98	30	38	63	26
ELK4	117	155	140	138	118	35
ELL	153	260	104	204	239	101
ELL2	349	334	198	261	257	345
ELL3	64	115	110	84	46	21
ELMO1	31	25	5	39	28	0
ELMO2	91	87	58	215	66	87
ELMO3	0	0	0	0	0	0
ELMOD1	30	18	43	21	2	4
ELMOD2	135	263	172	225	156	224
ELMOD3	39	38	39	64	30	55
ELN	0	0	0	0	0	0
ELOA	623	615	572	632	578	549
ELOA2	0	0	0	0	0	0
ELOB	4822	6113	4522	4215	3993	3707
ELOC	2220	2335	1782	1567	1335	915
ELOF1	1347	1776	1514	1314	1267	892
ELOVL1	124	114	115	54	112	102
ELOVL2	126	140	154	82	115	93
ELOVL3	0	0	0	0	0	0
ELOVL4	280	340	191	176	337	113
ELOVL5	580	801	664	789	703	327
ELOVL6	284	368	254	163	118	220
ELOVL7	190	202	128	101	165	189
ELP1	449	547	407	410	371	394
ELP2	280	362	264	470	451	438
ELP3	278	347	264	163	383	136
ELP4	256	357	258	275	235	218
ELP5	1	6	3	4	0	0
ELP6	554	703	576	687	686	675
ELSPBP1	0	0	0	0	0	0
EMB	334	446	436	270	126	88
EMC1	369	563	449	458	301	200
EMC10	1256	1605	1316	1302	994	996
EMC2	205	280	167	226	178	235
EMC3	2045	1928	1480	1466	1486	1360
EMC4	1974	2734	2025	2089	1693	1430
EMC6	5494	6858	4910	5429	5297	4007
EMC7	3039	3340	2717	2466	2056	1847
EMC8	1475	1777	1280	1473	1385	1071
EMC9	0	0	0	0	0	0
EMCN	0	0	0	0	0	0
EMD	2658	3325	3155	2320	2445	1554
EME1	187	183	105	88	192	200
EME2	112	114	50	165	100	28
EMG1	1687	1767	1420	1828	1509	1269
EMID1	18	14	57	12	26	8
EMILIN1	12	5	9	0	8	0
EMILIN2	69	84	46	119	57	72
EMILIN3	60	125	70	57	74	105
EML1	391	343	408	215	269	157
EML2	129	103	84	128	108	128
EML3	85	126	51	47	64	1
EML4	425	502	323	513	453	396
EML5	82	81	61	85	75	63
EML6	1	23	28	26	9	78
EMP1	0	17	17	6	10	1
EMP2	1118	1278	1041	879	936	999
EMP3	70	129	96	72	59	46
EMSY	256	204	177	149	78	109
EMX1	0	34	40	26	65	1
EMX2	91	117	105	134	118	137
EN1	86	76	90	44	41	3
EN2	759	749	567	833	593	667
ENAH	3883	5123	4143	3892	3379	3078
ENAM	0	0	0	0	0	0
ENC1	228	314	242	299	256	166
ENDOD1	118	173	130	85	80	43
ENDOG	510	583	419	612	365	485
ENDOU	0	0	2	0	0	0
ENDOV	217	292	215	285	286	196
ENG	0	0	0	0	0	0
ENGASE	63	86	79	60	86	91
ENHO	66	127	22	27	13	38
ENKD1	203	190	132	280	173	251
ENKUR	0	0	0	0	0	0
ENO1	52634	63108	49578	51244	46573	36531
ENO2	681	888	612	817	520	397
ENO3	6	3	7	9	0	15
ENO4	0	1	0	0	0	0
ENOPH1	492	499	460	565	521	547
ENOSF1	363	379	354	550	319	343
ENOX1	109	126	219	120	40	142
ENOX2	220	211	128	162	93	19
ENPEP	117	104	109	85	124	76
ENPP1	521	687	455	451	477	262
ENPP2	29	37	27	42	15	28
ENPP3	7	0	0	0	0	0
ENPP4	151	147	84	116	67	70
ENPP5	14	30	16	12	27	14
ENPP6	0	0	0	0	0	0
ENPP7	0	0	0	0	0	0
ENSA	3978	5431	3924	3482	2973	2609
ENSG00000100101	2039	2690	1933	2477	2113	1721
ENSG00000111780	125	109	99	100	81	56
ENSG00000124593	12881	15607	11069	9204	8656	6769
ENSG00000125695	325	327	306	463	194	197
ENSG00000131152	72	83	54	44	17	30
ENSG00000141979	1501	1961	1475	1424	1517	1258
ENSG00000142539	0	0	0	0	0	0
ENSG00000159239	0	3	0	0	0	0
ENSG00000167774	5295	6290	4743	4947	4619	3009
ENSG00000167807	430	644	521	561	468	478
ENSG00000170846	385	536	443	679	555	583
ENSG00000173366	0	0	0	0	0	0
ENSG00000173867	1180	1394	1112	1794	1387	1395
ENSG00000183889	0	0	0	0	0	0
ENSG00000187186	7	0	5	0	0	44
ENSG00000188223	200	176	191	476	540	384
ENSG00000188897	22	0	4	0	0	0
ENSG00000196826	21	16	12	20	0	15
ENSG00000197991	0	0	0	0	0	0
ENSG00000198211	145	195	83	213	99	100
ENSG00000203546	613	665	663	572	671	509
ENSG00000204003	0	0	0	0	0	0
ENSG00000204422	0	0	0	0	0	0
ENSG00000205236	0	0	0	0	0	0
ENSG00000206549	0	0	0	0	0	0
ENSG00000213204	4	12	6	24	2	0
ENSG00000214265	0	0	0	0	0	0
ENSG00000225528	355	417	154	213	174	153
ENSG00000226490	0	0	0	0	0	0
ENSG00000226690	0	0	0	0	0	0
ENSG00000227717	0	0	0	0	0	0
ENSG00000228144	1681	2181	1669	1484	1292	1077
ENSG00000230626	0	0	0	0	0	0
ENSG00000230707	40	52	25	55	8	0
ENSG00000235007	0	0	4	0	0	0
ENSG00000236543	0	0	0	0	0	0
ENSG00000237378	0	0	0	0	0	0
ENSG00000237850	0	0	0	0	0	0
ENSG00000239395	0	0	0	0	0	0
ENSG00000239920	8	11	6	29	30	17
ENSG00000241489	53	45	35	68	27	1
ENSG00000241690	0	0	0	0	0	0
ENSG00000241962	1194	1249	1089	1025	946	1006
ENSG00000243501	0	4	0	3	0	1
ENSG00000243696	0	5	4	0	0	27
ENSG00000244255	0	0	0	0	0	0
ENSG00000248235	0	0	0	0	0	0
ENSG00000248710	82	35	55	45	23	72
ENSG00000248751	6	9	10	1	5	0
ENSG00000249141	7	4	18	14	15	0
ENSG00000249590	1259	1382	991	1141	1003	1014
ENSG00000249624	869	954	865	718	455	629
ENSG00000249773	618	630	531	433	442	269
ENSG00000249967	0	1	0	0	0	0
ENSG00000250349	0	0	0	3	0	0
ENSG00000250424	0	0	0	0	0	0
ENSG00000250644	0	0	0	0	5	0
ENSG00000250803	0	0	0	0	0	0
ENSG00000251246	0	0	0	0	0	0
ENSG00000251357	23	1	27	45	7	1
ENSG00000251537	0	0	0	0	0	0
ENSG00000251569	2	15	0	0	0	0
ENSG00000254469	112	138	170	92	110	78
ENSG00000254536	196	262	151	242	137	161
ENSG00000254553	117	139	132	153	106	102
ENSG00000254673	39	45	62	45	17	37
ENSG00000254692	0	0	0	0	0	0
ENSG00000254706	0	0	0	0	13	0
ENSG00000254732	3026	3834	2847	2931	2576	2433
ENSG00000254979	0	0	0	0	0	0
ENSG00000255054	0	0	0	0	0	0
ENSG00000255292	0	0	8	12	0	0
ENSG00000255330	76	85	92	95	72	39
ENSG00000255339	3537	4071	3365	3583	2777	2712
ENSG00000255432	0	0	0	0	0	0
ENSG00000255439	4208	4422	3496	3422	3182	2752
ENSG00000255508	7531	9641	7306	11652	10575	8347
ENSG00000255639	0	7	1	0	0	0
ENSG00000255641	0	9	0	0	1	0
ENSG00000255663	35	81	5	106	37	41
ENSG00000255730	724	795	628	710	808	559
ENSG00000255835	0	0	0	0	0	0
ENSG00000255872	6448	7543	5553	5609	4852	4509
ENSG00000256029	0	0	0	0	0	0
ENSG00000256100	0	0	0	0	0	0
ENSG00000256206	2467	3080	2374	2672	2585	2544
ENSG00000256349	80	97	112	86	39	81
ENSG00000256407	185	177	187	156	184	95
ENSG00000256500	88	187	138	177	238	205
ENSG00000256514	131	192	102	144	114	46
ENSG00000256566	387	656	390	356	482	258
ENSG00000256591	137	327	176	152	209	125
ENSG00000256646	3734	4168	3269	3611	2807	2610
ENSG00000256825	0	3	0	0	0	0
ENSG00000256861	991	1145	957	1335	1122	904
ENSG00000256950	1664	2120	1518	1781	1639	1334
ENSG00000256966	4555	4972	3764	3809	3030	2829
ENSG00000257062	0	0	0	0	0	0
ENSG00000257065	631	763	460	551	518	358
ENSG00000257184	67	166	73	99	64	6
ENSG00000257207	0	0	12	0	0	0
ENSG00000257341	0	8	0	0	1	0
ENSG00000257355	0	0	0	7	0	0
ENSG00000257390	1812	2245	1707	2131	1789	1579
ENSG00000257524	419	396	396	307	263	176
ENSG00000257921	1248	1354	1001	1465	1253	1227
ENSG00000258052	8	0	0	12	0	0
ENSG00000258064	15	15	22	5	9	0
ENSG00000258311	1161	1472	979	918	477	479
ENSG00000258417	0	0	0	0	0	0
ENSG00000258461	2	10	9	0	50	2
ENSG00000258465	1049	1337	956	909	971	664
ENSG00000258466	0	3	3	19	9	0
ENSG00000258472	3028	3387	2840	2789	2585	2204
ENSG00000258529	293	463	342	309	373	239
ENSG00000258539	371	506	338	411	320	184
ENSG00000258653	264	297	242	451	412	274
ENSG00000258674	0	0	0	0	0	0
ENSG00000258677	58	82	24	26	73	5
ENSG00000258691	0	0	0	0	0	0
ENSG00000258728	307	319	185	361	406	229
ENSG00000258790	2407	2983	2138	2119	1940	1348
ENSG00000258830	48	73	114	89	49	38
ENSG00000258864	541	508	590	676	584	554
ENSG00000258881	88	111	119	107	163	5
ENSG00000258989	0	6	0	0	0	0
ENSG00000259060	0	0	0	0	0	0
ENSG00000259066	0	0	0	0	0	0
ENSG00000259132	301	287	264	502	247	227
ENSG00000259164	0	0	0	0	0	0
ENSG00000259171	3	71	37	11	7	0
ENSG00000259316	5531	6993	5313	4764	4243	3637
ENSG00000259522	0	0	0	0	0	0
ENSG00000259529	0	0	0	0	0	0
ENSG00000259753	0	0	0	0	0	0
ENSG00000259900	0	3	0	0	7	0
ENSG00000260007	222	220	159	185	101	198
ENSG00000260092	0	0	0	0	8	0
ENSG00000260234	0	0	0	0	0	0
ENSG00000260272	14044	18044	13734	11104	10460	7500
ENSG00000260537	567	806	656	900	905	809
ENSG00000260643	31	96	92	89	26	1
ENSG00000260729	9	0	0	0	0	0
ENSG00000260836	18	11	20	3	4	0
ENSG00000260851	0	0	0	0	0	0
ENSG00000260861	0	0	0	0	2	0
ENSG00000261130	0	0	0	0	0	0
ENSG00000261147	3118	3775	2932	3429	3075	2533
ENSG00000261341	10	11	5	0	13	0
ENSG00000261459	188	345	316	271	219	147
ENSG00000261582	0	0	0	0	0	0
ENSG00000261611	222	312	195	436	261	171
ENSG00000261732	211	285	194	227	152	231
ENSG00000261793	0	11	0	0	0	0
ENSG00000261832	583	570	407	283	352	281
ENSG00000261884	362	482	361	544	220	143
ENSG00000261915	0	3	0	0	0	0
ENSG00000262302	0	0	0	0	0	0
ENSG00000262304	158	196	161	209	168	122
ENSG00000262526	2419	3319	2530	2327	1942	1581
