gene_name	DMSO-L10a-1	DMSO-L10a-2	DMSO-L10a-3	TPG-L10a-1	TPG-L10a-2	TPG-L10a-3
A1BG	107	33	108	75	74	75
A1CF	0	0	0	0	0	0
A2M	0	4	0	0	0	0
A2ML1	0	0	0	0	7	0
A4GALT	16	3	13	6	0	1
A4GNT	0	0	0	0	0	0
AAAS	552	225	571	473	289	365
AACS	288	305	349	162	330	327
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADAT	151	66	65	118	135	77
AAGAB	1621	1157	1970	1217	1765	1538
AAK1	156	114	151	153	201	152
AAMDC	490	472	537	189	388	303
AAMP	3313	2172	3329	2297	3063	2644
AANAT	0	6	5	9	7	1
AAR2	1273	805	1094	1029	1131	1057
AARD	115	144	123	77	120	132
AARS1	1650	757	1407	1503	1444	1513
AARS2	525	403	480	336	550	506
AARSD1	695	678	734	651	868	850
AASDH	214	94	128	205	218	167
AASDHPPT	1527	1277	1413	1101	2090	1496
AASS	1219	1153	1164	1053	1440	1132
AATF	0	0	1	0	0	10
AATK	31	17	75	7	43	25
ABAT	224	128	210	108	184	122
ABCA1	0	4	10	0	0	0
ABCA10	0	0	0	0	10	0
ABCA12	1	0	0	0	0	0
ABCA13	0	0	0	0	0	6
ABCA2	29	2	29	14	3	9
ABCA3	303	218	307	102	76	86
ABCA4	0	0	0	0	0	0
ABCA5	46	43	73	39	103	64
ABCA6	0	0	0	0	0	0
ABCA7	28	16	16	24	12	16
ABCA8	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0
ABCB1	167	98	232	131	240	168
ABCB10	408	316	619	248	487	355
ABCB11	0	0	0	0	0	0
ABCB4	5	12	11	14	19	41
ABCB5	0	5	2	0	0	0
ABCB6	236	131	199	86	120	79
ABCB7	1070	962	1007	953	1436	1194
ABCB8	185	117	113	87	157	56
ABCB9	176	151	176	96	234	137
ABCC1	2	0	0	0	0	2
ABCC10	111	56	125	58	21	55
ABCC11	6	2	0	0	5	0
ABCC12	2	0	0	0	0	0
ABCC2	12	43	16	5	4	2
ABCC3	0	0	0	0	0	0
ABCC4	914	808	982	604	944	761
ABCC5	360	398	382	230	421	332
ABCC6	0	0	0	0	0	0
ABCC8	11	4	6	17	10	5
ABCC9	3	0	0	4	0	0
ABCD1	0	13	9	17	6	17
ABCD2	0	3	0	4	0	5
ABCD3	805	738	806	468	872	669
ABCD4	260	166	339	154	306	201
ABCE1	1671	1549	1815	1151	2244	1494
ABCF1	0	0	0	0	0	0
ABCF2	1584	1137	1552	1341	1413	1276
ABCF2-H2BE1	1	13	26	0	1	0
ABCF3	89	17	49	102	46	69
ABCG1	15	14	15	6	17	11
ABCG2	41	81	46	34	56	36
ABCG4	2	0	0	0	3	0
ABCG5	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0
ABHD1	1	0	0	0	2	0
ABHD10	634	333	720	614	622	570
ABHD11	242	162	283	282	341	275
ABHD12	760	340	826	443	380	416
ABHD12B	0	0	0	0	0	0
ABHD13	180	185	187	189	334	221
ABHD14A	177	73	130	101	34	53
ABHD14A-ACY1	327	115	257	213	89	107
ABHD14B	214	59	82	60	66	53
ABHD15	172	133	203	110	157	96
ABHD16A	0	17	2	0	1	0
ABHD16B	0	0	0	0	0	0
ABHD17A	78	28	63	35	107	15
ABHD17B	317	194	295	223	380	332
ABHD17C	367	333	379	184	285	276
ABHD18	225	292	343	277	410	270
ABHD2	928	700	826	473	894	617
ABHD3	259	191	245	174	395	166
ABHD4	73	65	84	90	71	53
ABHD5	420	315	390	298	450	415
ABHD6	83	74	124	105	142	87
ABHD8	165	71	212	90	71	110
ABI1	460	407	426	480	732	528
ABI2	1238	1066	1188	819	1205	935
ABI3	1	0	0	0	0	0
ABI3BP	130	110	105	116	169	112
ABITRAM	270	187	237	226	441	283
ABL1	293	95	294	230	240	199
ABL2	741	406	563	588	760	684
ABLIM1	949	601	824	598	745	595
ABLIM2	15	21	32	0	11	26
ABLIM3	0	11	5	0	0	3
ABO	0	0	0	0	0	0
ABR	1	0	0	0	0	0
ABRA	0	0	0	0	0	0
ABRACL	2108	1984	1914	991	1648	1203
ABRAXAS1	104	105	88	75	151	65
ABRAXAS2	403	262	356	176	502	352
ABT1	1078	916	1124	741	1206	773
ABTB1	20	9	7	0	5	3
ABTB2	77	83	76	106	154	171
ACAA1	374	341	476	234	385	509
ACAA2	723	879	904	789	1060	646
ACACA	21	30	21	18	37	40
ACACB	32	18	32	12	36	49
ACAD10	116	84	73	74	120	105
ACAD11	235	309	247	218	375	289
ACAD8	197	154	208	176	165	191
ACAD9	479	423	387	333	687	534
ACADL	13	18	27	10	29	25
ACADM	1833	1599	1802	1452	2284	1502
ACADS	130	128	147	93	129	131
ACADSB	305	225	347	244	358	242
ACADVL	432	214	487	267	256	302
ACAN	0	0	0	0	0	0
ACAP1	0	0	0	0	0	0
ACAP2	166	148	233	114	292	276
ACAP3	88	66	110	150	82	79
ACAT1	1672	1197	1815	1079	1923	1411
ACAT2	3634	3269	3565	2668	4175	3406
ACBD3	935	647	902	861	1391	1153
ACBD4	40	19	27	38	43	36
ACBD5	588	452	694	488	674	690
ACBD6	1001	834	862	553	859	764
ACBD7	468	543	647	426	699	503
ACCS	5	15	17	6	8	6
ACCSL	0	0	0	0	1	0
ACD	409	256	532	437	342	360
ACE	22	24	49	15	10	18
ACE2	0	0	0	0	0	0
ACER1	0	0	0	0	0	0
ACER2	7	2	3	0	4	10
ACER3	392	303	390	316	486	312
ACHE	1	1	8	14	14	14
ACIN1	1392	891	1538	1353	1775	1373
ACKR1	0	0	0	0	0	0
ACKR2	0	0	0	0	4	0
ACKR3	0	0	5	0	0	0
ACKR4	0	0	3	0	0	0
ACLY	4989	4008	5143	4257	5238	4557
ACMSD	0	0	0	0	0	0
ACO1	153	132	129	144	194	151
ACO2	1181	869	1181	1039	941	904
ACOD1	0	0	0	0	0	0
ACOT1	0	0	0	0	0	0
ACOT11	18	15	15	13	28	14
ACOT12	0	0	6	0	0	0
ACOT13	1098	1134	1211	930	1191	791
ACOT2	921	679	832	552	937	742
ACOT4	0	0	0	0	3	0
ACOT6	0	0	0	0	0	0
ACOT7	1889	1472	2094	1593	1623	1507
ACOT8	672	313	667	429	423	327
ACOT9	440	469	599	461	771	667
ACOX1	794	502	712	491	731	628
ACOX2	12	5	6	0	6	7
ACOX3	30	32	19	22	44	56
ACOXL	63	27	69	78	81	37
ACP1	2192	1537	2249	1186	1804	1479
ACP2	407	261	331	242	317	375
ACP3	0	12	8	6	3	2
ACP4	0	0	0	0	0	0
ACP5	0	0	0	0	7	0
ACP6	581	521	655	363	650	493
ACP7	0	0	0	0	0	6
ACR	0	0	0	0	0	0
ACRBP	0	0	0	0	0	0
ACRV1	0	0	0	0	0	0
ACSBG1	6	1	2	9	0	4
ACSBG2	0	0	1	0	0	0
ACSF2	28	13	51	40	28	42
ACSF3	198	75	181	126	100	87
ACSL1	195	172	239	165	278	215
ACSL3	1660	1489	1692	1595	2508	1777
ACSL4	303	230	236	276	446	307
ACSL5	0	0	0	0	0	4
ACSL6	39	29	23	0	20	27
ACSM1	0	7	0	0	0	0
ACSM2A	1	0	0	0	2	0
ACSM2B	0	0	0	0	2	0
ACSM3	3	17	24	6	3	35
ACSM4	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0
ACSM6	3	0	0	0	0	0
ACSS1	492	418	461	341	420	434
ACSS2	62	68	114	104	77	63
ACSS3	19	23	78	30	94	68
ACTA1	11	0	0	0	0	9
ACTA2	214	166	262	194	138	109
ACTB	4307	2028	4507	3650	3300	2816
ACTBL2	18	1	0	0	2	11
ACTC1	0	0	0	0	0	0
ACTG1	62222	53876	68874	44477	58633	51750
ACTG2	3	0	0	0	0	0
ACTL10	4	0	0	0	0	0
ACTL6A	848	496	723	731	929	619
ACTL6B	0	0	0	0	0	1
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0
ACTL8	143	71	161	115	80	120
ACTL9	0	0	0	0	0	0
ACTN1	1587	838	1527	1268	1323	1460
ACTN2	7	20	11	61	34	15
ACTN3	0	0	0	0	0	0
ACTN4	1	3	0	0	1	2
ACTR10	605	450	702	438	811	610
ACTR1A	1371	839	1430	1435	995	1141
ACTR1B	600	602	654	405	554	518
ACTR2	2687	1797	2613	1510	2984	1956
ACTR3	1525	1046	1415	1268	1509	1221
ACTR3B	109	69	89	122	115	88
ACTR3C	3	13	9	0	8	0
ACTR5	209	118	210	134	164	106
ACTR6	419	329	312	363	771	435
ACTR8	169	133	206	294	281	237
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	23	16	9	0	15	17
ACVR1	117	116	90	103	146	174
ACVR1B	314	301	417	226	419	242
ACVR1C	17	25	22	36	18	30
ACVR2A	50	72	123	65	130	106
ACVR2B	595	376	569	389	509	423
ACVRL1	14	18	18	0	7	7
ACY1	327	107	244	213	89	105
ACY3	0	0	0	0	0	0
ACYP1	737	411	622	306	573	403
ACYP2	204	153	189	139	224	97
ADA	252	124	302	110	104	159
ADA2	4	0	0	0	8	0
ADAD1	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0
ADAL	593	468	512	397	571	404
ADAM10	481	538	449	350	681	475
ADAM11	61	53	79	69	53	40
ADAM12	1	18	18	34	17	57
ADAM15	51	17	123	55	98	39
ADAM17	583	481	600	498	837	609
ADAM18	0	0	0	0	0	0
ADAM19	51	37	26	12	24	20
ADAM2	0	0	0	0	0	0
ADAM20	2	0	0	0	0	0
ADAM21	11	14	13	10	0	0
ADAM22	88	91	93	121	106	116
ADAM23	110	80	106	24	87	58
ADAM28	0	0	0	0	0	0
ADAM29	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0
ADAM33	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0
ADAM8	20	17	9	13	11	7
ADAM9	88	70	114	77	84	121
ADAMDEC1	0	0	0	0	0	0
ADAMTS1	1372	1070	1601	1872	3586	2922
ADAMTS10	2	0	0	0	10	15
ADAMTS12	0	1	0	0	1	0
ADAMTS13	0	0	7	0	0	0
ADAMTS14	0	0	0	1	0	0
ADAMTS15	56	16	32	21	68	39
ADAMTS16	7	0	0	0	10	11
ADAMTS17	242	140	110	112	245	207
ADAMTS18	8	7	10	14	5	10
ADAMTS19	162	56	141	101	171	90
ADAMTS2	172	98	181	86	94	87
ADAMTS20	10	4	45	11	13	23
ADAMTS3	17	11	27	20	21	11
ADAMTS4	6	0	0	0	0	0
ADAMTS5	0	0	0	0	0	5
ADAMTS6	18	32	39	38	18	45
ADAMTS7	7	2	0	0	0	0
ADAMTS8	104	89	103	44	46	27
ADAMTS9	27	16	49	31	55	18
ADAMTSL1	8	5	2	1	6	11
ADAMTSL2	0	0	0	0	0	0
ADAMTSL3	0	0	0	0	0	0
ADAMTSL4	0	0	0	0	0	4
ADAMTSL5	10	11	25	6	29	6
ADAP1	35	31	46	17	12	19
ADAP2	353	240	292	196	283	194
ADAR	2365	1810	1984	1692	2547	1899
ADARB1	167	130	223	233	222	226
ADARB2	0	0	0	0	0	0
ADAT1	654	659	652	665	812	681
ADAT2	157	175	212	179	143	233
ADAT3	152	40	53	51	39	31
ADCK1	84	42	81	44	61	55
ADCK2	735	646	677	502	538	581
ADCK5	0	0	0	0	0	0
ADCY1	282	188	236	138	228	164
ADCY10	26	15	20	10	18	10
ADCY2	2	0	0	0	0	0
ADCY3	272	221	276	135	211	219
ADCY4	0	0	0	0	0	0
ADCY5	23	1	10	29	8	15
ADCY6	58	19	14	33	24	16
ADCY7	57	28	57	8	19	15
ADCY8	0	0	0	0	0	0
ADCY9	132	206	227	113	122	123
ADCYAP1	0	0	0	0	0	0
ADCYAP1R1	7	8	8	0	10	19
ADD1	922	589	927	865	698	667
ADD2	582	387	584	462	548	427
ADD3	1397	966	1441	884	1713	1286
ADGB	0	7	0	0	0	3
ADGRA1	8	7	0	0	0	3
ADGRA2	23	17	41	0	39	19
ADGRA3	299	141	271	181	149	234
ADGRB1	31	3	13	8	7	16
ADGRB2	16	22	37	18	17	20
ADGRB3	0	0	0	0	0	0
ADGRD1	0	0	0	0	0	7
ADGRD2	0	0	0	0	0	0
ADGRE1	0	0	0	0	0	0
ADGRE2	3	0	5	0	0	0
ADGRE3	92	65	62	18	61	58
ADGRE5	314	231	214	216	250	279
ADGRF1	0	0	0	0	0	0
ADGRF3	0	0	3	0	0	0
ADGRF4	18	2	8	0	25	3
ADGRF5	0	1	0	3	0	6
ADGRG1	6	0	22	0	0	0
ADGRG2	16	9	8	11	36	3
ADGRG3	6	0	3	15	0	7
ADGRG4	0	0	0	0	0	0
ADGRG5	0	0	0	0	0	0
ADGRG6	205	88	147	61	129	94
ADGRG7	0	0	0	0	0	0
ADGRL1	0	3	0	0	0	0
ADGRL2	435	256	322	316	380	249
ADGRL3	62	67	74	51	42	21
ADGRL4	0	0	0	0	0	0
ADGRV1	278	185	213	161	363	260
ADH1A	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0
ADH1C	0	0	0	0	0	0
ADH4	0	0	0	0	0	0
ADH5	1285	1096	1600	1116	1646	1258
ADH6	0	0	0	0	0	0
ADH7	0	0	0	0	0	0
ADHFE1	1	0	0	0	14	0
ADI1	18	0	4	0	0	0
ADIG	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0
ADIPOR1	629	484	738	298	495	368
ADIPOR2	0	12	1	0	0	0
ADIRF	3	3	0	0	0	0
ADK	2000	1706	1686	1580	2460	2085
ADM	251	265	213	248	352	336
ADM2	0	0	0	0	0	0
ADM5	37	21	20	15	0	12
ADNP	767	573	668	711	996	683
ADNP2	845	828	854	879	1413	978
ADO	846	648	808	733	1003	761
ADORA1	23	25	38	8	21	8
ADORA2A	76	54	50	58	53	32
ADORA2B	144	100	165	69	139	146
ADORA3	0	0	0	0	0	0
ADPGK	933	685	749	611	881	708
ADPRH	0	0	0	0	0	0
ADPRHL1	111	40	85	38	43	67
ADPRM	106	89	161	228	413	283
ADPRS	899	659	890	777	922	959
ADRA1A	0	0	0	0	0	0
ADRA1B	0	11	7	0	4	0
ADRA1D	3	3	0	0	0	0
ADRA2A	9	1	0	14	25	6
ADRA2B	0	0	0	0	0	4
ADRA2C	274	302	383	161	288	198
ADRB1	15	33	46	30	28	40
ADRB2	13	19	12	30	8	7
ADRB3	0	0	0	0	0	0
ADRM1	2369	1755	2522	2560	2470	2421
ADSL	2200	1730	2330	1669	2398	1759
ADSS1	4	25	14	5	27	29
ADSS2	613	455	585	463	903	740
ADTRP	0	0	0	0	0	0
AEBP1	0	0	0	0	0	0
AEBP2	352	182	387	344	489	339
AEN	1201	1118	1363	1805	2225	1964
AFAP1	36	57	60	65	46	46
AFAP1L1	102	64	57	48	76	56
AFAP1L2	0	0	1	1	15	17
AFDN	570	438	527	499	649	515
AFF1	95	71	102	76	132	103
AFF2	80	56	74	37	71	91
AFF3	281	189	209	220	320	243
AFF4	231	192	306	432	657	412
AFG1L	94	98	116	69	72	68
AFG3L2	1005	620	951	980	1189	1042
AFM	0	0	0	0	0	0
AFMID	1520	1175	1489	818	1416	1114
AFP	0	0	0	0	0	0
AFTPH	488	217	300	289	488	391
AGA	477	378	467	374	661	485
AGAP1	474	278	471	290	399	319
AGAP2	0	4	11	0	5	13
AGAP3	457	412	652	544	554	455
AGAP4	0	0	0	0	1	5
AGAP5	6	2	21	18	11	15
AGAP6	63	16	31	77	94	31
AGAP9	8	0	10	0	3	8
AGBL1	0	0	0	0	0	0
AGBL2	0	0	1	0	0	0
AGBL3	1	2	4	10	8	10
AGBL4	25	26	16	74	90	60
AGBL5	635	360	534	169	324	359
AGER	0	0	0	0	0	0
AGFG1	593	350	504	429	708	497
AGFG2	49	28	59	65	47	58
AGGF1	1329	1274	1494	869	1587	997
AGK	54	74	75	50	74	40
AGL	587	278	493	241	461	386
AGMAT	0	0	0	13	8	0
AGMO	0	0	3	0	3	0
AGO1	657	506	619	402	511	432
AGO2	863	616	924	747	926	743
AGO3	632	577	742	706	802	703
AGO4	116	112	224	96	154	107
AGPAT1	0	0	0	0	0	0
AGPAT2	864	538	773	718	409	481
AGPAT3	1900	1240	1743	793	1007	1040
AGPAT4	82	102	111	271	269	259
AGPAT5	1	2	2	0	1	1
AGPS	422	252	381	328	520	355
AGR2	0	0	0	0	0	0
AGR3	0	0	0	0	0	0
AGRN	113	73	96	9	11	19
AGRP	0	0	0	0	0	0
AGT	0	0	0	19	0	0
AGTPBP1	287	260	255	204	240	175
AGTR1	0	0	0	0	0	0
AGTR2	0	0	0	0	0	0
AGTRAP	637	285	449	328	339	277
AGXT	0	0	6	0	0	0
AGXT2	0	0	0	0	0	0
AHCTF1	118	90	87	90	169	139
AHCY	2382	2529	2421	1986	3004	2428
AHCYL1	5388	3726	4868	3265	4484	4141
AHCYL2	64	43	105	106	133	90
AHDC1	56	58	111	51	71	40
AHI1	708	668	596	465	1051	873
AHNAK	39	41	27	10	52	39
AHNAK2	12	0	8	1	15	0
AHR	111	92	156	163	212	177
AHRR	30	35	20	0	114	36
AHSA1	1523	844	1454	1260	1377	1162
AHSG	0	12	0	0	0	0
AHSP	0	0	0	0	0	0
AICDA	0	0	0	0	0	0
AIDA	265	99	181	92	130	115
AIF1	0	0	0	0	0	0
AIF1L	943	816	976	437	827	688
AIFM1	2028	1334	1977	1560	2256	1808
AIFM2	327	235	376	128	368	257
AIFM3	0	0	0	0	0	0
AIG1	1473	1030	1426	803	1191	1201
AIM2	0	0	0	0	0	0
AIMP1	519	365	511	356	714	579
AIMP2	2200	1668	2344	1850	2523	2150
AIP	708	223	532	630	263	315
AIPL1	0	0	0	0	0	0
AIRE	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0
AJM1	7	12	9	5	8	0
AJUBA	199	171	204	283	352	263
AK1	456	277	504	227	344	327
AK2	3957	2930	4199	3130	3793	3359
AK3	1280	1005	1163	471	938	894
AK4	785	574	670	400	575	445
AK4P3	0	0	0	0	0	0
AK5	13	1	10	0	0	0
AK6	8	1	3	0	0	2
AK7	23	25	39	11	19	32
AK8	0	0	6	0	2	0
AK9	28	26	23	43	28	41
AKAIN1	0	0	0	0	0	0
AKAP1	807	531	714	439	639	548
AKAP10	424	400	412	343	490	380
AKAP11	76	95	74	54	187	132
AKAP12	317	224	318	263	449	382
AKAP13	566	364	471	643	889	703
AKAP14	0	0	0	0	0	0
AKAP17A	0	0	0	0	0	0
AKAP3	20	13	7	11	4	4
AKAP4	0	0	0	0	0	0
AKAP5	81	64	99	63	99	75
AKAP6	14	22	18	0	13	34
AKAP7	39	33	50	32	100	70
AKAP8	895	623	896	813	1102	781
AKAP8L	244	180	298	216	273	219
AKAP9	1269	987	1289	1020	2020	1508
AKIP1	573	430	655	541	675	593
AKIRIN1	3320	3344	3740	3078	4563	3892
AKIRIN2	328	250	313	321	525	341
AKNA	24	21	31	32	41	54
AKNAD1	0	0	13	0	2	0
AKR1A1	1488	1118	1477	1413	1308	1228
AKR1B1	4177	3151	4041	2982	3715	3079
AKR1B10	0	0	0	0	0	0
AKR1B15	0	0	0	0	0	0
AKR1C1	4	0	11	14	0	0
AKR1C2	0	0	1	0	8	3
AKR1C3	0	0	0	8	5	3
AKR1C4	0	0	0	0	0	0
AKR1C8P	0	0	0	0	0	0
AKR1D1	0	0	1	0	0	0
AKR1E2	0	0	0	0	0	0
AKR7A2	2532	1562	2576	1652	1597	1566
AKR7A3	0	5	7	0	0	4
AKR7L	24	11	8	0	7	0
AKT1	2355	828	2104	1347	840	976
AKT1S1	64	34	77	87	71	70
AKT2	5605	2838	5928	3407	2741	2851
AKT3	0	0	0	0	0	0
AKTIP	72	60	100	83	55	70
ALAD	100	117	167	133	262	225
ALAS1	285	228	266	322	380	351
ALAS2	0	0	0	0	0	0
ALB	0	0	0	0	0	0
ALCAM	597	454	468	341	488	395
ALDH16A1	282	142	305	294	171	233
ALDH18A1	1521	1045	1368	884	1408	1291
ALDH1A1	0	0	0	2	6	2
ALDH1A2	2080	1369	1884	1299	1837	1484
ALDH1A3	24	36	35	48	26	26
ALDH1B1	520	338	440	299	471	415
ALDH1L1	36	27	23	10	4	8
ALDH1L2	2	11	19	0	27	4
ALDH2	688	577	723	582	827	745
ALDH3A1	5	11	18	4	0	5
ALDH3A2	1530	1131	1328	997	1500	1206
ALDH3B1	6	0	24	8	16	2
ALDH3B2	0	0	0	0	0	0
ALDH4A1	104	59	97	175	158	171
ALDH5A1	941	699	889	760	914	810
ALDH6A1	509	404	419	340	566	353
ALDH7A1	1859	1443	1713	1790	2249	1897
ALDH8A1	2	5	1	0	11	0
ALDH9A1	1847	1334	1545	1453	1962	1560
ALDOA	14057	4412	12186	11032	7976	7511
ALDOB	0	0	0	0	0	0
ALDOC	81	21	70	75	14	42
ALG1	577	370	548	307	474	507
ALG10	113	68	102	110	126	73
ALG10B	289	298	376	151	430	260
ALG11	1759	1445	1753	1215	1961	1925
ALG12	362	282	294	322	428	392
ALG13	1204	608	1104	802	1346	997
ALG14	588	472	679	334	635	570
ALG1L2	0	0	0	0	0	0
ALG2	510	381	553	537	643	702
ALG3	2637	1077	2250	1729	1024	1248
ALG5	2363	2234	2216	1766	2440	1829
ALG6	282	357	328	196	513	299
ALG8	1106	660	1046	828	987	731
ALG9	467	377	350	366	409	376
ALK	0	0	0	0	0	0
ALKAL1	13	6	24	0	11	1
ALKAL2	0	1	0	0	0	5
ALKBH1	85	68	138	125	185	141
ALKBH2	668	396	578	457	533	442
ALKBH3	611	638	703	441	624	709
ALKBH4	1004	968	1023	631	1067	897
ALKBH5	2334	1354	2397	1784	1973	1619
ALKBH6	1100	511	998	753	834	798
ALKBH7	283	104	221	222	171	119
ALKBH8	282	207	356	202	442	316
ALLC	0	0	0	0	0	0
ALMS1	249	184	253	121	355	185
ALOX12	0	0	0	0	0	0
ALOX12B	90	41	120	88	78	65
ALOX15	0	0	0	0	0	2
ALOX15B	0	0	1	0	1	0
ALOX5	0	0	0	0	0	0
ALOX5AP	0	0	0	0	0	0
ALOXE3	2	0	12	42	18	12
ALPG	3	0	0	0	0	6
ALPI	0	0	0	0	0	0
ALPK1	65	84	55	41	47	76
ALPK2	0	0	0	0	1	3
ALPK3	0	0	0	0	0	1
ALPL	7	0	2	16	0	0
ALPP	25	15	6	5	30	17
ALS2	141	139	179	101	262	189
ALS2CL	0	0	0	0	1	0
ALX1	133	157	165	182	228	132
ALX3	0	0	0	0	0	0
ALX4	85	33	46	66	29	70
ALYREF	1538	937	1663	1591	2171	1196
AMACR	190	123	77	295	320	230
AMBN	29	34	38	14	25	8
AMBP	0	0	1	0	0	0
AMBRA1	37	16	25	32	51	39
AMD1	3320	2837	3086	1689	2816	2275
AMDHD1	1	7	1	0	2	7
AMDHD2	313	217	271	232	332	280
AMELX	0	0	0	0	0	0
AMELY	0	0	0	0	0	0
AMER1	34	34	46	40	58	29
AMER2	5	0	3	0	9	2
AMER3	0	0	0	0	0	0
AMFR	706	447	681	301	580	469
AMH	33	7	28	38	14	15
AMHR2	89	24	96	78	30	37
AMIGO1	32	8	38	6	26	21
AMIGO2	80	74	27	34	60	26
AMIGO3	41	18	44	52	46	66
AMMECR1	893	804	814	661	897	701
AMMECR1L	251	215	316	476	472	398
AMN	0	0	0	0	0	0
AMN1	117	98	136	140	118	169
AMOT	285	194	251	256	402	419
AMOTL1	489	406	481	452	659	431
AMOTL2	393	285	467	421	480	382
AMPD1	3	7	0	0	2	7
AMPD2	377	280	453	253	260	312
AMPD3	21	20	14	1	4	6
AMPH	98	74	86	68	86	94
AMT	0	0	7	0	10	3
AMTN	0	0	0	0	0	0
AMY1A	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0
AMY2A	0	0	0	0	0	0
AMY2B	0	0	0	0	0	0
AMZ1	0	0	0	1	0	0
AMZ2	1221	977	1392	457	946	768
ANAPC1	283	123	224	61	244	230
ANAPC10	468	295	507	331	596	406
ANAPC11	4171	3008	3790	2590	2619	2346
ANAPC13	859	501	818	472	593	436
ANAPC15	1238	548	1195	757	562	581
ANAPC16	2298	1747	2351	1328	1930	1416
ANAPC2	0	0	0	1	2	1
ANAPC4	179	124	197	148	323	279
ANAPC5	1841	1137	1860	1478	1529	1307
ANAPC7	1234	1057	1089	1141	1317	1233
ANG	62	28	40	47	20	22
ANGEL1	316	271	232	200	313	243
ANGEL2	188	175	172	146	277	230
ANGPT1	13	9	0	7	1	2
ANGPT2	3	6	7	14	7	10
ANGPT4	0	0	0	0	0	0
ANGPTL1	0	1	0	0	0	0
ANGPTL2	4	0	9	0	0	6
ANGPTL3	0	0	0	0	0	0
ANGPTL4	0	0	0	0	0	0
ANGPTL5	0	0	0	0	0	0
ANGPTL6	0	6	1	10	3	0
ANGPTL7	0	0	0	0	0	0
ANGPTL8	0	0	0	0	0	2
ANHX	0	0	0	0	0	0
ANK1	35	2	26	30	9	36
ANK2	69	62	109	56	94	61
ANK3	391	343	347	271	538	381
ANKAR	8	21	5	19	7	15
ANKDD1A	14	2	2	7	4	5
ANKDD1B	0	0	0	4	0	0
ANKEF1	40	43	30	14	59	25
ANKFN1	0	0	0	0	0	0
ANKFY1	513	341	492	483	641	523
ANKH	2687	1726	2317	1806	2704	2360
ANKHD1	1458	1494	1557	1237	2473	2207
ANKHD1-EIF4EBP3	136	26	117	65	85	110
ANKIB1	384	315	419	245	430	267
ANKK1	0	0	0	0	0	0
ANKLE1	26	5	2	31	23	15
ANKLE2	354	468	513	458	554	511
ANKMY1	87	55	49	16	84	105
ANKMY2	169	148	216	360	352	298
ANKRA2	78	26	54	55	69	57
ANKRD1	14	12	16	9	74	66
ANKRD10	756	701	646	521	847	757
ANKRD11	2489	2273	2732	2056	3962	2919
ANKRD12	922	749	1008	647	1436	1155
ANKRD13A	548	402	564	432	652	481
ANKRD13B	267	130	248	199	184	147
ANKRD13C	286	144	220	104	264	150
ANKRD13D	52	52	84	22	42	45
ANKRD16	250	194	265	143	182	180
ANKRD17	271	255	250	167	221	237
ANKRD18A	0	10	13	0	10	0
ANKRD18B	0	8	5	23	16	15
ANKRD2	0	0	3	0	0	0
ANKRD20A1	8	0	0	0	0	0
ANKRD20A2P	1	0	0	0	0	0
ANKRD20A3P	0	0	0	0	0	0
ANKRD20A4P	11	3	7	8	24	9
ANKRD22	0	1	0	0	0	0
ANKRD23	10	8	21	0	33	6
ANKRD24	0	0	0	0	0	0
ANKRD26	1096	1106	1175	1282	1884	1468
ANKRD27	346	289	352	333	453	347
ANKRD28	449	429	469	392	516	469
ANKRD29	45	67	92	27	61	39
ANKRD30A	0	0	0	0	0	0
ANKRD30B	2	0	0	0	0	0
ANKRD30BL	0	0	0	0	0	3
ANKRD31	26	32	46	86	35	47
ANKRD33	0	0	0	0	0	0
ANKRD33B	366	160	259	202	152	119
ANKRD34A	54	22	51	18	26	29
ANKRD34B	15	12	36	23	38	15
ANKRD34C	0	0	0	0	0	0
ANKRD35	3	0	2	0	0	0
ANKRD36	0	3	0	0	0	0
ANKRD36B	30	23	17	0	16	4
ANKRD36C	154	104	133	83	289	195
ANKRD37	33	15	27	34	56	38
ANKRD39	635	539	611	413	492	503
ANKRD40	644	492	604	336	508	463
ANKRD40CL	0	3	0	0	0	0
ANKRD42	110	89	133	126	166	133
ANKRD44	68	33	50	47	99	59
ANKRD45	0	0	0	0	0	0
ANKRD46	265	175	229	221	337	214
ANKRD49	222	166	268	98	208	181
ANKRD50	113	76	93	85	205	71
ANKRD52	326	119	311	227	179	173
ANKRD53	0	0	0	0	0	0
ANKRD54	344	399	309	330	459	331
ANKRD55	16	5	11	0	6	20
ANKRD6	261	223	300	137	251	234
